owner_id,owner_card_id,owner_phone,owner_name,email,company_name,company_address,role,create_at,update_at,delete_at,bank_id_card_number,date_of_issue,bank_beneficiary_name,bank_account_number,bank_name,bank_province,bank_branch
1000000,804601922286,459861314,Lashaunda241,Thielsch@zoho.com,WorldWide Optics Corporation,"461 NW Riddle Hill Lane, Concord, NH, 04357",1,2018-01-01 00:07:13,2018-01-01 00:07:13,,5553325242948090,2024-03-08,GAAA HR CS S5E,9463011450082423,Citigroup Inc.,240 Hidden Front Way,Zuni
1000001,849082762300,242675663,Liubov1975,Ames974385857@gmail.com,Advanced Research Corp.,"11 Red Lake Hwy, Harrisburg, Pennsylvania, 30254",1,2019-10-19 13:01:51,2019-10-19 13:01:51,,4844029508634350,2023-07-21,AYNU CA 76 48Q,4958767034927343,HSBC,2948 Stonewood Pkwy,Solon Springs
1000002,368767478644,567642224,Jocelyn5,Morris_Gensrich16241444@gmail.com,National Space Explore Co.,"1753 North Church Pkwy, Boise, Idaho, 95705",1,2020-09-25 04:52:24,2020-09-25 04:52:24,,30222044191520,2026-08-01,SHQX NZ PE A85,7357757843438961,PNC Financial Services Group Inc.,44 West Church Ct,Waconia
1000003,496315878400,441915299,Thiebault1974,GyulaBurnside@yahoo.com,Smart Mining Corporation,"1695 Hidden Deepwood Cir, Superior Bldg, Indianapolis, Indiana, 88231",1,2020-10-31 19:22:48,2020-10-31 19:22:48,,6280874217787445,2026-08-14,RDNU CO 81 T62,3999399748405384,Citigroup Inc.,3778 Edgewood Highway,Solvang
1000004,937535134115,986434754,Katherine368,HesseniusL57@gmail.com,Global High-Technologies Corp.,"970 Riddle Hill Pkwy, Comcast Building, Albany, New York, 12229",1,2020-10-26 09:11:48,2020-10-26 09:11:48,,5472617632079249,2023-01-26,UOUL IT L2 P27,2788798796848619,TD Group US Holdings LLC,12 1st Circle,Lonsdale
1000005,891693795705,518061763,Shawanda338,Catrina_Revillas573@icloud.com,First 2G Wireless Corporation,"1955 Front Road, Madison, WI, 37006",2,2018-07-25 06:00:46,2018-07-25 06:00:46,,6269497959219784,2024-07-14,TYOP BH 6M BUQ,5477093604079750,JPMorgan Chase & Co.,3570 Flintwood Parkway,Housatonic
1000006,398695329326,315891693,Antolina446,Jepsen6@yahoo.com,Future Industry Corporation,"2844 North Woodfort St, Raleigh, NC, 26635",2,2019-04-19 12:59:27,2019-04-19 12:59:27,,30911698070804,2023-05-10,FVQO GH ZB,9304989443489150,PNC Financial Services Group Inc.,1790 SW Church Avenue,Flemington
1000007,176457335893,718541782,Meurer122,Abbott@hubspot.com,West I-Mobile Group,"2989 East Pine Tree Road, Topeka, KS, 16758",1,2021-05-07 15:14:43,2021-05-07 15:14:43,,4175004634830098,2024-02-14,ZROI PK 31 8U5,5007095720928641,JPMorgan Chase & Co.,2014 Social Road,Waddell
1000008,201488231168,116980708,Adan1985,Padres@icloud.com,United Logics Group,"62 Ashwood Pkwy, 3rd Floor, Madison, Wisconsin, 04370",1,2018-01-01 00:01:04,2018-01-01 00:01:04,,6377881014594209,2023-03-05,GULF DK S6,1796600240214709,JPMorgan Chase & Co.,34 Riddle Hill Pkwy,Orrington
1000009,740141451627,764573358,Cesaria454,Albert.Abernathy@icloud.com,Home Space Research Inc.,"40 Bayview Lane, Topeka, Kansas, 52885",1,2021-06-27 09:39:25,2021-06-27 09:39:25,,340141451621313,2027-02-22,OHWE SG 1P MXT,652148115006633,Truist Bank,65 Waterview Avenue,Abercrombie
1000010,822183842355,548148823,Olesya9,PergentinaQuettier7166@icloud.com,Canadian Space Research Group,"18 2nd Ct, 1st FL, Pierre, SD, 48106",1,2020-03-03 22:51:39,2020-03-03 22:51:39,,30558705423557,2025-01-18,CIYI BZ QN,2086478189454342,Truist Bank,3760 West Social Parkway,Rockville Centre
1000011,629760869646,748665945,Georgene1993,FarooqCubedo31321188@icloud.com,Australian W-Mobile Inc.,"664 Town Way, Oklahoma City, OK, 55081",1,2018-01-01 00:00:05,2018-01-01 00:00:05,,6212229875955201,2023-01-05,SYIY DK 98 VNZ,3342423933269113,Citigroup Inc.,1254 New Cedar Tree Rd,Hogansburg
1000012,524936858204,363278221,Dani5,Akiko.YAbraham@zoho.com,East High-Technologies Inc.,"66 East Quailwood Rd, Standard Building, Montgomery, AL, 48135",1,2020-11-03 22:32:50,2020-11-03 22:32:50,,344933125497062,2024-02-03,EFNK PL 0D 7NH,3921835014786542,HSBC,2354 N Cedar Tree Hwy,Somerdale
1000013,878184404620,802687142,Avery1,Munk5@yahoo.com,General High-Technologies Group,"3215 Beachwood Highway, Lincoln, Nebraska, 38238",1,2018-01-01 00:00:01,2018-01-01 00:00:01,,4405784409685080,2023-01-01,CUMJ EE 39,3976688227931455,Silicon Valley Bank,95 North Church Road,Loogootee
1000014,89429947426,729875955,Doppenschmitt8,KatrinaS.Tibbetts@icloud.com,Creative Fossil Fuel Power Group,"3927 North Town Street, Augusta, Maine, 09086",2,2020-10-27 13:09:02,2020-10-27 13:09:02,,4508020478044388,2023-02-05,JHUR BW 5L 4EB,4811481665329443,Citigroup Inc.,47 W Ashwood Avenue,House Springs
1000015,635550989203,652493685,Brothers1954,ColinFrierson99951@hubspot.com,Creative Laboratories Corp.,"3235 NW Farmview Loop, Boston, Massachusetts, 65476",1,2018-11-18 21:43:08,2018-11-18 21:43:08,,30555098583815,2025-05-06,PEUE YE HM,9194668391620769,Silicon Valley Bank,2455 Buttonwood Ln,Orrs Island
1000016,167930634381,882016846,Yusef2,jyjypxw9@gmail.com,Domestic J-Mobile Inc.,"1765 Ironwood Hwy, Kearns Bldg, Juneau, AK, 44263",1,2020-10-25 19:26:31,2020-10-25 19:26:31,,6218212794774790,2023-05-08,VPMY SZ J9,7935570905140961,TD Group US Holdings LLC,10 Social Lane,Rockwall
1000017,517692700762,421626869,Alegra84,TenishaBellot@gmail.com,City Q-Mobile Group,"739 Waterview Hwy, Helena, MT, 64021",1,2018-01-01 00:15:42,2018-01-01 00:15:42,,6221347588270764,2025-07-30,PSZN FI 22,6463685482663595,Bank of America Corp.,633 New Parkwood St,Orrstown
1000018,222599070628,826295793,Formigo2027,nswma99727@gmail.com,Home Telecom Corporation,"3949 New Town Blvd, Guardian Building, Phoenix, AZ, 19385",2,2020-06-06 22:44:33,2020-06-06 22:44:33,,3579799556771550,2026-09-14,NRPA NO SS,6668959032741090,JPMorgan Chase & Co.,2762 Buttonwood Road,Waddington
1000019,884504370580,555509892,Graziella4,hynncdnya47@yahoo.com,City M-Mobile Corporation,"44 White Glenwood Court, Appartment 9, Salt Lake City, Utah, 30714",1,2018-01-01 00:01:23,2018-01-01 00:01:23,,6227051430683679,2023-03-24,YRDF MA FV,3893708298703153,Silicon Valley Bank,1027 NW Ashwood Cir,Fletcher
1000020,23688476304,817824735,Adolfo1980,Brady5@gmail.com,South Natural Gas Resources Group,"1752 East Chapel Hill Highway, Austin, Texas, 53257",1,2019-03-16 02:52:11,2019-03-16 02:52:11,,6254800236884766,2025-10-07,ZILS NO 9N,3372314168736335,JPMorgan Chase & Co.,38 South Mount Highway,Hohenwald
1000021,715944328100,277472378,Mirelys648,nieu25@hubspot.com,Federal Instruments Group,"34 New Waterview Loop, 3rd FL, Carson City, NV, 56781",2,2020-06-16 00:55:19,2020-06-16 00:55:19,,377794244713486,2026-03-07,FCYD PY Y2 8P9,7338267355526605,U.S. Bancorp,2795 East Lake Ct,Somers
1000022,278688920482,845561509,Arcarons459,Echebeste@hubspot.com,City O-Mobile Inc.,"875 Stonewood Pkwy, Carson City, Nevada, 72024",1,2022-01-08 12:32:58,2022-01-08 12:32:58,,4917025398060583,2025-02-25,VRJK DE F4 CI3,6668482398171424,Fifth Third Bank,1063 SW Hope Pkwy,Wadena
1000023,481065056141,287715569,Mahnke268,Gansberg4@icloud.com,Western High-Technologies Corporation,"786 Rock Hill Drive, Augusta, Maine, 44321",1,2019-08-11 17:21:40,2019-08-11 17:21:40,,3534260696957322,2026-05-29,GBTN IS 64 DK8,5106751476219398,Citigroup Inc.,3172 Deepwood Blvd,Brockway
1000024,300364487981,731390955,Stere986,oxkzot2502999@gmail.com,First Natural Gas Power Inc.,"3984 Ironwood Loop, Santa Fe, NM, 62291",2,2018-01-01 00:05:13,2018-01-01 00:05:13,,30433987175921,2023-11-09,CPIV SE MQ 4ML,7884015881045288,Fifth Third Bank,582 Rushwood Court,Aberdeen
1000025,750455106329,968350754,Adolfo633,Abdul_Angenvoort3@hubspot.com,Pacific Space Research Group,"1912 E Deepwood Ave, Austin, Texas, 55348",1,2020-08-21 02:34:17,2020-08-21 02:34:17,,39817504551062,2026-11-13,WOIZ ZA 9T P7O,1066234494401816,Bank of America Corp.,994 SW Glenwood Parkway,Brockwell
1000026,407619541724,165434159,Zolikha875,AbigailAllan@icloud.com,Home Space Explore Inc.,"63 Waterview Ct, Boise, ID, 60661",1,2018-12-10 06:22:13,2018-12-10 06:22:13,,4913924991151985,2024-06-30,JWQO CH D9 7DI,6726817617958445,Bank of America Corp.,1136 SW Ashwood St,Somers Point
1000027,714178447862,743281002,Marcelo29,Verdu3421362@zoho.com,Advanced T-Mobile Corporation,"37 Market Street, APT 666, Cheyenne, Wyoming, 21327",2,2018-01-01 00:01:28,2018-01-01 00:01:28,,3528432584605481,2023-03-29,UVAB MM H5 6U5,817360305978420,Citigroup Inc.,36 NE Hunting Hill Way,Wadesboro
1000028,223300390296,396660580,Addie31,KhouloudAbreu19@zoho.com,Western O-Mobile Group,"3249 Fox Hill Ct, 1st FL, Saint Paul, Minnesota, 69091",1,2021-02-10 08:56:37,2021-02-10 08:56:37,,6388965921585546,2025-02-05,UIXC CH 85 4QL,7392174605848575,Citigroup Inc.,105 Old Deepwood Lane,Aberdeen Proving Ground
1000029,898373937286,354668273,Haenen2013,Sullivan@gmail.com,National Goods Group,"804 West Bayview Ln, STE 1849, Trenton, NJ, 49680",2,2018-01-01 00:01:38,2018-01-01 00:01:38,,4844298449462938,2023-04-08,CKBI GB 55 V3N,1607055610383756,Silicon Valley Bank,777 Pine Tree Pkwy,Flint
